layer,euc_sep,hyp_sep,probe_auc,p_value
0,0.0,0.0,0.6000000000000001,1.0
1,0.01193323452025652,0.005514553282409906,0.9055555555555557,0.9314412225020213
2,0.016119124367833138,0.007448924705386162,0.95,0.937832700796742
3,0.015733318403363228,0.00727063650265336,0.9333333333333332,0.9080982394618702
4,0.020783258602023125,0.009604300372302532,0.9277777777777778,0.9688366115470592
5,0.019309822469949722,0.00892339926213026,0.888888888888889,0.9543047878072812
6,0.018571777269244194,0.008582336828112602,0.9166666666666667,0.9919813058912452
7,0.020436737686395645,0.009444166906177998,0.8833333333333334,0.9468616952428113
8,0.020962145179510117,0.009686963632702827,0.8944444444444445,0.8844914808101219
9,0.02384582720696926,0.011019566096365452,0.8444444444444447,0.9169084304694904
10,0.03609746694564819,0.016681257635354996,0.8388888888888889,0.8766087863838852
11,0.041969459503889084,0.019394809380173683,0.861111111111111,0.9039518900656629
12,0.0709446594119072,0.03278474509716034,0.8666666666666668,0.6412514381482504
13,0.08240446448326111,0.03808051720261574,0.8944444444444445,0.7359954584884649
14,0.2279905378818512,0.10535833239555359,0.9333333333333333,0.030552478512739647
15,0.25174790620803833,0.11633703112602234,0.8833333333333334,0.046257111437486224
16,0.2666769027709961,0.12323598563671112,0.9444444444444444,0.234790966370926
17,0.2765299081802368,0.1277892291545868,0.8666666666666666,0.38099919232633606
18,0.2786191701889038,0.12875469028949738,0.8722222222222223,0.641272825621421
19,0.26787373423576355,0.12378906458616257,0.8833333333333334,0.8824636821768574
20,0.27258437871932983,0.1259659230709076,0.8277777777777778,0.720304875709305
21,0.29620811343193054,0.13688287138938904,0.8444444444444444,0.7727724202070558
22,0.30015870928764343,0.13870848715305328,0.8666666666666668,0.6512358102351468
23,0.308126300573349,0.1423904448747635,0.861111111111111,0.5448641988150383
24,0.3062417209148407,0.14151957631111145,0.8388888888888889,0.45644681854359104
25,0.3069658577442169,0.1418541818857193,0.8666666666666666,0.3026454163270613
26,0.3156818151473999,0.14588196575641632,0.8444444444444447,0.45171316956252605
27,0.33030933141708374,0.15264157950878143,0.8277777777777778,0.47594635212029146
28,0.33360010385513306,0.15416234731674194,0.8166666666666668,0.7560541782398787
29,0.3390953838825226,0.15670180320739746,0.8444444444444444,0.8074369331895609
30,0.33328741788864136,0.154017835855484,0.8222222222222222,0.7888960373445915
31,0.34292206168174744,0.15847015380859375,0.7888888888888889,0.7632351470358701
32,0.41272780299186707,0.19072861969470978,0.7944444444444445,0.9664190704957576
