t,pc1,pc2,pc3
1,117.57015,1.82725,95.402374
2,130.12164,-4.5050635,96.99059
3,116.72014,20.485636,79.854164
4,136.98138,8.348921,96.0586
5,139.55658,0.85675097,100.53428
6,117.16526,24.22843,79.63205
7,112.78562,24.958366,75.14765
8,111.62908,24.775013,76.79578
