t,pc1,pc2,pc3
1,129.23337,-3.3611293,78.5179
2,124.30692,-12.579218,75.1344
3,143.47372,-12.871502,85.81364
4,153.48532,-9.999718,100.414345
5,148.00563,-11.977203,87.00915
6,128.23006,-7.5069003,67.19688
7,120.63228,9.148834,70.054146
8,116.93911,11.897469,64.436844
