t,pc1,pc2,pc3
1,-160.75768,-54.05788,26.069885
2,-177.95326,-86.644394,30.930073
3,-191.27142,-96.98439,31.57285
4,-197.93591,-96.317986,33.77019
5,-180.65002,-84.5106,40.286182
6,-170.27669,-79.99695,40.704258
7,-172.40445,-84.344765,36.496086
8,-172.75822,-83.47221,38.887085
