t,pc1,pc2,pc3
1,113.89763,-17.854698,82.87746
2,142.13687,-22.393497,95.46498
3,137.44507,-17.193554,79.01453
4,133.82062,-21.6638,75.64664
5,145.8342,-15.648306,90.98784
6,125.757416,-7.8198333,66.32724
7,130.89497,-11.520903,80.28781
8,119.113945,-13.524971,58.487995
