t,pc1,pc2,pc3
1,-174.20816,-90.071915,16.625187
2,-196.82729,-104.7008,22.732075
3,-184.80408,-92.82091,25.408264
4,-188.5653,-97.0286,23.860596
5,-167.93506,-89.10965,26.739521
6,-165.47018,-92.894325,34.013287
7,-154.79842,-73.861435,30.917484
8,-164.8514,-83.06574,29.383099
