t,pc1,pc2,pc3
1,-89.04309,156.07446,-39.825085
2,-91.51845,161.21878,-47.077
3,-69.48594,161.58334,-28.177818
4,-52.603615,148.69109,-22.561378
5,-50.711506,133.108,-21.772243
6,-28.50394,113.1474,-14.890946
7,-47.08463,134.83047,-17.331886
8,-43.48304,135.98192,-16.371284
