t,pc1,pc2,pc3
1,31.058456,54.106358,24.79928
2,9.075719,79.768845,42.95616
3,2.5326583,69.48545,57.062492
4,28.13232,56.80952,69.70425
5,22.952854,71.64904,70.84694
6,29.173656,61.940014,71.17555
7,39.146824,49.68208,66.656334
8,74.85048,41.237698,69.38694
