t,pc1,pc2,pc3
1,-179.63846,-81.28668,36.14082
2,-193.57782,-96.018394,36.196686
3,-196.6029,-99.32048,34.885365
4,-190.48517,-94.56632,35.367107
5,-186.90138,-92.420815,41.43433
6,-190.25372,-91.13735,30.589006
7,-161.87015,-83.13092,35.75485
8,-180.3088,-96.77163,30.48303
9,-169.90584,-78.68232,35.904503
10,-142.24174,-58.989807,33.062634
11,-127.72139,-47.850937,29.169966
12,-149.27167,-68.7326,29.24822
