t,pc1,pc2,pc3
1,145.20752,-8.5214815,101.54629
2,154.83623,-11.740949,106.70192
3,148.65797,-18.789146,109.173584
4,134.92729,-11.974822,98.487
5,126.469124,-9.765529,87.14745
6,156.37788,-17.715595,107.68787
7,142.61429,-10.307918,84.43732
8,156.7347,-20.377129,104.02928
9,138.82587,-2.7053251,86.84233
10,138.02466,-5.7927465,91.33818
11,123.25655,-1.3819304,78.06451
12,147.55774,-12.399621,89.707306
