t,pc1,pc2,pc3
1,-61.125004,147.4347,-28.699305
2,-85.62436,180.67363,-50.000748
3,-85.07631,177.56024,-47.881058
4,-68.290665,162.02016,-29.289042
5,-46.28419,129.09123,-24.204948
6,-52.417225,176.50839,-24.901949
7,-65.22711,151.07181,-25.487879
8,-68.52485,173.51144,-39.667904
9,-48.092213,140.03989,-21.145205
10,-50.851513,139.0561,-20.15523
11,-48.065937,132.00215,-21.624414
12,-63.426052,145.1773,-24.48077
