t,pc1,pc2,pc3
1,-76.07321,157.79749,-32.04291
2,-76.24914,160.49208,-35.786312
3,-76.450455,165.32957,-33.738434
4,-66.751335,152.91191,-26.11594
5,-57.92838,148.98975,-24.086058
6,-62.13876,161.13174,-29.330946
7,-45.39536,151.05385,-21.46313
8,-65.99121,158.31519,-32.09398
9,-44.981808,139.99413,-17.707048
10,-46.79011,135.81047,-14.314964
11,-40.842426,137.91612,-12.897271
12,-56.82362,154.22307,-20.447794
