t,pc1,pc2,pc3
1,90.43973,-67.611946,-106.72137
2,87.102905,-74.09879,-113.116295
3,77.74627,-76.51052,-111.695694
4,86.32411,-76.0416,-111.91155
5,88.67795,-69.48621,-108.05771
6,92.104515,-75.54142,-106.884674
7,102.88605,-67.77404,-99.649345
8,84.775055,-66.57874,-103.345375
9,94.61986,-51.714096,-88.85005
10,79.53174,-53.0307,-90.937386
11,67.42103,-44.92992,-82.77299
12,70.501274,-47.84503,-93.38741
