t,pc1,pc2,pc3
1,-154.94377,-75.39228,35.111
2,-170.23338,-91.320045,39.125343
3,-172.62843,-95.52358,33.36766
4,-172.46063,-82.633995,34.11024
5,-172.54253,-83.91975,39.252544
6,-171.61232,-100.70133,30.393759
7,-151.98177,-84.226776,39.687237
8,-185.12459,-104.02397,29.036947
9,-181.20816,-95.73677,41.098785
10,-166.64546,-88.84566,39.05138
11,-174.24454,-90.4435,35.448578
12,-181.16234,-97.204865,38.072586
