t,pc1,pc2,pc3
1,-169.41637,-70.847626,27.494583
2,-179.64359,-94.068726,32.538574
3,-184.79913,-97.78207,29.156368
4,-177.29477,-88.58029,30.261131
5,-161.28354,-77.24748,33.654743
6,-159.57494,-76.279434,32.383373
7,-156.0591,-71.256805,34.465942
8,-144.74562,-61.369926,35.882996
9,-170.30516,-79.84828,35.007458
