t,pc1,pc2,pc3
1,-60.13928,171.49419,-21.538794
2,-61.28771,177.23483,-20.259584
3,-48.034264,170.2592,-18.741383
4,-38.754673,145.2214,-17.239803
5,-42.35149,160.6041,-14.399431
6,-39.589073,151.42311,-16.52469
7,-33.131474,143.59288,-13.990341
8,-32.989464,136.92848,-12.858225
9,-40.27606,149.11124,-21.265806
