t,pc1,pc2,pc3
1,78.674286,-64.19678,-101.589806
2,79.90703,-68.05687,-107.424484
3,94.359314,-87.40723,-102.31637
4,80.27515,-57.040543,-80.282684
5,83.77113,-78.01715,-102.46864
6,82.05658,-60.84346,-92.44347
7,74.160675,-56.239807,-87.19994
8,80.7128,-54.91562,-82.37915
9,80.33169,-57.22557,-87.14871
