t,pc1,pc2,pc3
1,114.85048,-7.3046293,70.50174
2,123.86238,-15.188337,79.32768
3,141.38274,-18.437075,92.43965
4,138.29683,-11.158632,90.08858
5,129.05023,-11.05146,78.98627
6,117.706894,-6.1065598,69.962814
7,123.8221,-8.390213,87.218994
8,124.63071,-9.819979,82.56915
9,135.51033,-17.47353,93.41054
