t,pc1,pc2,pc3
1,-139.9419,-61.437576,30.765743
2,-175.8788,-84.011086,42.073467
3,-160.93091,-82.767136,38.644505
4,-147.96448,-66.58382,38.95836
5,-163.15364,-83.884995,36.410164
6,-162.60622,-74.923134,34.76722
7,-147.40088,-55.046165,31.744839
8,-150.09756,-58.10991,32.6194
9,-162.4652,-66.53179,31.970505
