t,pc1,pc2,pc3
1,87.97467,-68.44728,-95.7769
2,100.6399,-77.87886,-89.97801
3,100.4626,-85.98221,-103.8565
4,94.91256,-68.64371,-87.62522
5,85.22349,-60.765945,-91.47482
6,81.193085,-52.774544,-86.88904
7,77.43567,-47.880486,-73.897446
8,73.87903,-47.329124,-82.04316
9,73.97359,-54.850006,-87.061264
