t,pc1,pc2,pc3
1,112.25684,-12.220404,84.15637
2,122.03227,-29.126963,102.588806
3,132.20946,-25.687696,86.28024
4,141.34862,-19.900778,74.49834
5,125.83168,-11.02475,72.01892
6,133.64977,-16.651497,87.75052
7,140.57298,-22.127272,99.73998
8,125.16359,-14.704115,74.76077
9,128.08867,-22.051363,84.80127
